ID SHARE,Trade Date
AMGN,02/09/2024
ENPH,08/09/2024
MCD,15/09/2024
MCD,15/09/2024
AAPL,08/09/2024
OATE5Y.FR,06/09/2024
BTP3Y.IT,11/09/2024
KO,14/09/2024
BBVA,13/09/2024
NVDA,13/09/2024
MS,13/09/2024
BLK,09/09/2024
CME,09/09/2024
CSGN.SW,13/09/2024
CSGN.SW,13/09/2024
CSGN.SW,13/09/2024
REGN,03/09/2024
SHW,30/09/2024
MRK,16/09/2024
