ID SHARE,Trade Date,Open,Close,High,Low
WEED.TO,19/09/2024,6.7,6.42,6.74,6.35
SBH,10/09/2024,11.71,11.77,11.8,11.41
MONC.MI,04/09/2024,53.5,52.04,53.68,52.04
MONC.MI,06/09/2024,50.64,50.4,51.56,50.38
MONC.MI,24/09/2024,50.28,49.17,50.5,48.72
SFER.MI,04/09/2024,7.31,7.18,7.32,7.16
SFER.MI,06/09/2024,7.08,6.84,7.1,6.78
SFER.MI,19/09/2024,6.35,6.47,6.64,6.3
PSON.L,04/09/2024,1064.0,1069.5,1069.5,1057.5
PSON.L,06/09/2024,1073.5,1073.5,1084.0,1071.5
PSON.L,19/09/2024,1030.5,1035.0,1035.0,1024.5
TYRES.HE,04/09/2024,8.37,8.33,8.39,8.29
TYRES.HE,06/09/2024,8.34,8.17,8.35,8.16
TYRES.HE,24/09/2024,8.32,8.4,8.43,8.32
VIRP.PA,04/09/2024,339.0,336.0,342.0,336.0
VIRP.PA,06/09/2024,348.5,345.5,350.0,344.0
VIRP.PA,23/09/2024,396.0,394.0,396.0,388.5
VIRP.PA,24/09/2024,395.5,392.0,396.5,392.0
BKNG,10/09/2024,3812.04,3828.47,3831.08,3771.59
BRDCY,10/09/2024,18.75,18.77,18.77,18.52
BRDCY,19/09/2024,18.6,19.13,19.14,18.6
EDP.LS,04/09/2024,3.78,3.87,3.87,3.77
EDP.LS,06/09/2024,3.98,4.03,4.03,3.95
ABDN.L,11/09/2024,147.5,146.25,148.7,146.25
ABDN.L,19/09/2024,148.05,155.2,155.2,148.05
CRH,10/09/2024,84.8,85.61,85.75,84.19
JDEP.AS,06/09/2024,20.58,20.13,20.58,20.13
JDEP.AS,11/09/2024,21.17,20.5,21.17,20.3
JDEP.AS,19/09/2024,19.48,19.66,19.66,19.39
SGRO.L,04/09/2024,865.0,869.4,873.0,851.2
SGRO.L,06/09/2024,870.8,877.4,883.4,868.0
SGRO.L,11/09/2024,894.6,884.6,894.6,879.2
SGRO.L,19/09/2024,888.8,889.8,894.8,883.0
PRX.AS,06/09/2024,33.26,32.23,33.31,32.22
PRX.AS,11/09/2024,32.41,32.24,32.71,32.08
PRX.AS,19/09/2024,33.4,33.98,34.11,33.06
GE,10/09/2024,166.93,166.46,167.21,163.74
SINCH.ST,04/09/2024,28.2,28.49,28.6,27.89
SINCH.ST,06/09/2024,28.65,28.62,29.44,28.31
SINCH.ST,19/09/2024,31.4,32.32,32.65,31.2
VIE.PA,04/09/2024,29.38,29.57,29.63,29.28
VIE.PA,06/09/2024,29.9,29.6,29.98,29.6
VIE.PA,11/09/2024,29.5,29.47,29.53,29.17
VIE.PA,19/09/2024,30.3,30.14,30.5,29.92
BATS.L,11/09/2024,2855.22,2863.85,2870.09,2830.26
COP.L,11/09/2024,3.84,3.84,3.84,3.84
COP.L,19/09/2024,3.84,3.84,3.84,3.84
LIN,04/09/2024,474.77,470.7,476.14,470.14
LIN,06/09/2024,462.95,455.47,466.26,454.79
LIN,24/09/2024,477.5,477.9,479.31,474.05
SCMN.SW,04/09/2024,543.5,545.0,545.0,539.5
SCMN.SW,06/09/2024,548.0,548.5,551.0,546.5
SCMN.SW,11/09/2024,546.0,547.0,549.5,542.5
SCMN.SW,19/09/2024,549.5,542.5,549.5,541.5
LEN-B,10/09/2024,156.68,156.24,156.78,154.16
TBPH,10/09/2024,8.02,8.13,8.19,8.0
NOVO-B.CO,04/09/2024,902.0,904.7,911.6,900.2
NOVO-B.CO,06/09/2024,871.0,881.5,902.5,871.0
NOVO-B.CO,11/09/2024,873.4,890.5,903.9,871.3
